frame,track_id,vehicle_type,violation_type,center_x,center_y
frame_0057.jpg,72,motorcycle,Wrong Lane,534.8502349853516,608.6263427734375
frame_0058.jpg,72,motorcycle,Wrong Lane,535.2870178222656,609.2532196044922
frame_0059.jpg,72,motorcycle,Wrong Lane,535.3548431396484,609.4495239257812
frame_0059.jpg,73,car,Wrong Lane,463.09034729003906,327.8813934326172
frame_0060.jpg,72,motorcycle,Wrong Lane,537.1355285644531,609.5032043457031
frame_0060.jpg,73,car,Wrong Lane,463.5828552246094,328.1745300292969
frame_0061.jpg,72,motorcycle,Wrong Lane,536.3719177246094,609.8333435058594
frame_0062.jpg,72,motorcycle,Wrong Lane,537.9987487792969,609.05419921875
frame_0063.jpg,72,motorcycle,Wrong Lane,533.7291412353516,609.3256225585938
frame_0064.jpg,72,motorcycle,Wrong Lane,532.8344116210938,609.4842071533203
frame_0064.jpg,79,car,Wrong Lane,463.3019104003906,328.94329833984375
frame_0065.jpg,72,motorcycle,Wrong Lane,532.4429168701172,609.3532409667969
frame_0066.jpg,72,motorcycle,Wrong Lane,535.534912109375,609.3457794189453
frame_0067.jpg,72,motorcycle,Wrong Lane,534.8096466064453,608.7527923583984
frame_0067.jpg,88,motorcycle,Wrong Lane,427.8123779296875,346.8611755371094
frame_0068.jpg,72,motorcycle,Wrong Lane,535.1846008300781,608.9285736083984
frame_0069.jpg,95,motorcycle,Wrong Lane,470.51226806640625,352.38262939453125
frame_0069.jpg,72,motorcycle,Wrong Lane,534.6825256347656,610.1876831054688
