frame,track_id,vehicle_type,violation_type,center_x,center_y
frame_0001.jpg,5,motorcycle,Wrong Lane,538.8227844238281,573.9787292480469
frame_0002.jpg,7,car,Wrong Lane,471.7274627685547,293.1408233642578
frame_0002.jpg,5,motorcycle,Wrong Lane,536.0621185302734,576.4028625488281
frame_0004.jpg,12,motorcycle,Wrong Lane,534.1703033447266,580.0340576171875
frame_0005.jpg,14,truck,Wrong Lane,469.5826110839844,310.3782043457031
frame_0005.jpg,12,motorcycle,Wrong Lane,534.4271850585938,583.6168212890625
frame_0006.jpg,12,motorcycle,Wrong Lane,534.5558471679688,584.9758148193359
frame_0006.jpg,14,car,Wrong Lane,479.62908935546875,311.98585510253906
frame_0006.jpg,14,truck,Wrong Lane,480.2060089111328,312.1097717285156
frame_0007.jpg,12,motorcycle,Wrong Lane,533.1937561035156,585.7285003662109
frame_0007.jpg,14,car,Wrong Lane,487.2904815673828,311.86277770996094
frame_0008.jpg,12,motorcycle,Wrong Lane,532.8130950927734,586.06787109375
frame_0009.jpg,12,motorcycle,Wrong Lane,534.1738739013672,586.4342041015625
frame_0009.jpg,20,car,Wrong Lane,564.4206848144531,309.51600646972656
frame_0010.jpg,12,motorcycle,Wrong Lane,533.2569732666016,586.737060546875
frame_0011.jpg,12,motorcycle,Wrong Lane,534.5256958007812,590.5384521484375
frame_0011.jpg,23,truck,Wrong Lane,644.3265075683594,342.93202209472656
frame_0012.jpg,12,motorcycle,Wrong Lane,535.2079772949219,583.1002502441406
frame_0013.jpg,12,motorcycle,Wrong Lane,533.9384460449219,582.7818603515625
frame_0014.jpg,12,motorcycle,Wrong Lane,533.9723205566406,582.8446960449219
frame_0014.jpg,26,car,Wrong Lane,462.2743377685547,298.00926208496094
frame_0015.jpg,12,motorcycle,Wrong Lane,536.5688323974609,584.9701843261719
frame_0016.jpg,12,motorcycle,Wrong Lane,534.5338745117188,588.9239807128906
frame_0017.jpg,12,motorcycle,Wrong Lane,535.7454681396484,583.9167175292969
frame_0018.jpg,12,motorcycle,Wrong Lane,535.4484252929688,585.3930206298828
frame_0019.jpg,12,motorcycle,Wrong Lane,534.2820892333984,583.7518768310547
frame_0020.jpg,12,motorcycle,Wrong Lane,539.7568664550781,578.8202972412109
frame_0021.jpg,12,motorcycle,Wrong Lane,537.0770874023438,576.0556030273438
frame_0022.jpg,12,motorcycle,Wrong Lane,537.6791381835938,575.4949340820312
